,Market,Selection,Bet Type,Market ID,Selection ID,Price,Size,Handicap,Liability,Stake
26,Over/Under 3.5 Goals,Under 3.5 Goals,Back,1.230788325,1222344,1.3,214.51,0.0,0.0,0.0
27,Over/Under 3.5 Goals,Over 3.5 Goals,Back,1.230788325,1222345,3.55,21.95,0.0,0.0,0.0
28,Over/Under 3.5 Goals,Under 3.5 Goals,Lay,1.230788325,1222344,1.39,11.99,0.0,0.0,0.0
29,Over/Under 3.5 Goals,Over 3.5 Goals,Lay,1.230788325,1222345,4.4,116.38,0.0,0.0,0.0
30,Over/Under 8.5 Goals,Under 8.5 Goals,Back,1.230788273,2407528,1.01,1.01,0.0,0.0,0.0
31,Over/Under 8.5 Goals,Over 8.5 Goals,Back,1.230788273,2407529,100.0,15.12,0.0,0.0,0.0
32,Over/Under 8.5 Goals,Under 8.5 Goals,Lay,1.230788273,2407528,1.01,827.13,0.0,0.0,0.0
33,Over/Under 8.5 Goals,Over 8.5 Goals,Lay,1.230788273,2407529,1000.0,1.01,0.0,16.339986,0.02
34,Over/Under 2.5 Goals,Under 2.5 Goals,Back,1.230788321,47972,2.0,251.16,0.0,0.0,0.0
35,Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.230788321,47973,1.92,95.1,0.0,0.0,0.0
36,Over/Under 2.5 Goals,Under 2.5 Goals,Lay,1.230788321,47972,2.08,13.25,0.0,0.0,0.0
37,Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.230788321,47973,1.99,72.84,0.0,10.909364,11.02
38,Over/Under 7.5 Goals,Under 7.5 Goals,Back,1.230788275,1485572,1.01,1.01,0.0,0.0,0.0
39,Over/Under 7.5 Goals,Over 7.5 Goals,Back,1.230788275,1485573,100.0,14.93,0.0,0.0,0.0
40,Over/Under 7.5 Goals,Under 7.5 Goals,Lay,1.230788275,1485572,1.01,536.5,0.0,0.0,0.0
41,Over/Under 7.5 Goals,Over 7.5 Goals,Lay,1.230788275,1485573,1000.0,1.01,0.0,0.0,0.0
42,Correct Score,'0-0',Back,1.230788285,1,6.0,11.77,0.0,0.0,0.0
43,Correct Score,'0-1',Back,1.230788285,4,5.4,68.91,0.0,0.0,0.0
44,Correct Score,'0-2',Back,1.230788285,9,4.1,25.15,0.0,0.0,0.0
45,Correct Score,'0-3',Back,1.230788285,16,5.1,133.04,0.0,0.0,0.0
46,Correct Score,'1-0',Back,1.230788285,2,4.8,53.93,0.0,0.0,0.0
47,Correct Score,'1-1',Back,1.230788285,3,12.0,38.85,0.0,0.0,0.0
48,Correct Score,'1-2',Back,1.230788285,8,8.0,28.26,0.0,0.0,0.0
49,Correct Score,'1-3',Back,1.230788285,15,13.0,24.57,0.0,0.0,0.0
50,Correct Score,'2-0',Back,1.230788285,5,4.8,53.93,0.0,0.0,0.0
51,Correct Score,'2-1',Back,1.230788285,6,50.0,11.02,0.0,0.0,0.0
52,Correct Score,'2-2',Back,1.230788285,7,34.0,13.1,0.0,0.0,0.0
53,Correct Score,'2-3',Back,1.230788285,14,44.0,12.71,0.0,0.0,0.0
54,Correct Score,'3-0',Back,1.230788285,10,4.8,53.93,0.0,0.0,0.0
55,Correct Score,'3-1',Back,1.230788285,11,4.8,57.48,0.0,0.0,0.0
56,Correct Score,'3-2',Back,1.230788285,12,4.9,12.89,0.0,0.0,0.0
57,Correct Score,'3-3',Back,1.230788285,13,4.8,57.3,0.0,0.0,0.0
58,Correct Score,Any Other Home Win,Back,1.230788285,9063254,4.8,53.93,0.0,0.0,0.0
59,Correct Score,Any Other Away Win,Back,1.230788285,9063255,3.6,19.33,0.0,0.0,0.0
60,Correct Score,Any Other Draw,Back,1.230788285,9063256,5.0,10.89,0.0,0.0,0.0
61,Correct Score,'0-0',Lay,1.230788285,1,1000.0,1.01,0.0,0.0,0.0
62,Correct Score,'0-1',Lay,1.230788285,4,8.4,84.29,0.0,0.0,0.0
63,Correct Score,'0-2',Lay,1.230788285,9,4.9,83.04,0.0,0.0,0.0
64,Correct Score,'0-3',Lay,1.230788285,16,8.6,78.16,0.0,0.0,0.0
65,Correct Score,'1-0',Lay,1.230788285,2,1000.0,1.01,0.0,0.0,0.0
66,Correct Score,'1-1',Lay,1.230788285,3,17.0,44.02,0.0,0.0,0.0
67,Correct Score,'1-2',Lay,1.230788285,8,9.8,26.55,0.0,0.0,0.0
68,Correct Score,'1-3',Lay,1.230788285,15,18.0,37.04,0.0,0.0,0.0
69,Correct Score,'2-0',Lay,1.230788285,5,1000.0,1.01,0.0,0.0,0.0
70,Correct Score,'2-1',Lay,1.230788285,6,90.0,7.59,0.0,0.0,0.0
71,Correct Score,'2-2',Lay,1.230788285,7,60.0,14.77,0.0,0.0,0.0
72,Correct Score,'2-3',Lay,1.230788285,14,75.0,9.74,0.0,0.0,0.0
73,Correct Score,'3-0',Lay,1.230788285,10,1000.0,1.01,0.0,0.0,0.0
74,Correct Score,'3-1',Lay,1.230788285,11,630.0,1.06,0.0,0.0,0.0
75,Correct Score,'3-2',Lay,1.230788285,12,1000.0,1.01,0.0,0.0,0.0
76,Correct Score,'3-3',Lay,1.230788285,13,1000.0,1.01,0.0,0.0,0.0
77,Correct Score,Any Other Home Win,Lay,1.230788285,9063254,1000.0,1.01,0.0,0.0,0.0
78,Correct Score,Any Other Away Win,Lay,1.230788285,9063255,10.5,74.31,0.0,0.0,0.0
79,Correct Score,Any Other Draw,Lay,1.230788285,9063256,1000.0,1.01,0.0,0.0,0.0
80,Asian Handicap,Hearts -4.0,Back,1.230788326,2437395,77.19,3.81,-4.0,0.0,0.0
81,Asian Handicap,Tottenham +4.0,Back,1.230788326,48759,1.01,1.01,4.0,0.0,0.0
82,Asian Handicap,Hearts -3.5 & -4.0,Back,1.230788326,2437395,77.19,3.81,-3.75,0.0,0.0
83,Asian Handicap,Tottenham +3.5 & +4.0,Back,1.230788326,48759,1.01,1.01,3.75,0.0,0.0
84,Asian Handicap,Hearts -3.5,Back,1.230788326,2437395,77.19,3.81,-3.5,0.0,0.0
85,Asian Handicap,Tottenham +3.5,Back,1.230788326,48759,1.01,1.01,3.5,0.0,0.0
86,Asian Handicap,Hearts -3.0 & -3.5,Back,1.230788326,2437395,77.19,3.81,-3.25,0.0,0.0
87,Asian Handicap,Tottenham +3.0 & +3.5,Back,1.230788326,48759,1.01,1.01,3.25,0.0,0.0
88,Asian Handicap,Hearts -3.0,Back,1.230788326,2437395,77.19,3.81,-3.0,0.0,0.0
89,Asian Handicap,Tottenham +3.0,Back,1.230788326,48759,1.01,1.01,3.0,0.0,0.0
90,Asian Handicap,Hearts -2.5 & -3.0,Back,1.230788326,2437395,77.19,3.81,-2.75,0.0,0.0
91,Asian Handicap,Tottenham +2.5 & +3.0,Back,1.230788326,48759,1.01,1.01,2.75,0.0,0.0
92,Asian Handicap,Hearts -2.5,Back,1.230788326,2437395,77.19,3.81,-2.5,0.0,0.0
93,Asian Handicap,Tottenham +2.5,Back,1.230788326,48759,1.01,1.01,2.5,0.0,0.0
94,Asian Handicap,Hearts -2.0 & -2.5,Back,1.230788326,2437395,77.19,3.81,-2.25,0.0,0.0
95,Asian Handicap,Tottenham +2.0 & +2.5,Back,1.230788326,48759,1.01,1.01,2.25,0.0,0.0
96,Asian Handicap,Hearts -2.0,Back,1.230788326,2437395,77.19,3.81,-2.0,0.0,0.0
97,Asian Handicap,Tottenham +2.0,Back,1.230788326,48759,1.01,1.01,2.0,0.0,0.0
98,Asian Handicap,Hearts -1.5 & -2.0,Back,1.230788326,2437395,77.19,3.81,-1.75,0.0,0.0
99,Asian Handicap,Tottenham +1.5 & +2.0,Back,1.230788326,48759,1.01,1.01,1.75,0.0,0.0
100,Asian Handicap,Hearts -1.5,Back,1.230788326,2437395,77.19,3.81,-1.5,0.0,0.0
101,Asian Handicap,Tottenham +1.5,Back,1.230788326,48759,1.01,1.01,1.5,0.0,0.0
102,Asian Handicap,Hearts -1.0 & -1.5,Back,1.230788326,2437395,76.64,3.84,-1.25,0.0,0.0
103,Asian Handicap,Tottenham +1.0 & +1.5,Back,1.230788326,48759,1.01,1.01,1.25,0.0,0.0
104,Asian Handicap,Hearts -1.0,Back,1.230788326,2437395,76.09,3.87,-1.0,0.0,0.0
105,Asian Handicap,Tottenham +1.0,Back,1.230788326,48759,1.01,1.01,1.0,0.0,0.0
106,Asian Handicap,Hearts -0.5 & -1.0,Back,1.230788326,2437395,49.84,19.79,-0.75,0.0,0.0
107,Asian Handicap,Tottenham +0.5 & +1.0,Back,1.230788326,48759,1.01,1174.35,0.75,0.0,0.0
108,Asian Handicap,Hearts -0.5,Back,1.230788326,2437395,30.0,16.7,-0.5,0.0,0.0
109,Asian Handicap,Tottenham +0.5,Back,1.230788326,48759,1.02,196.08,0.5,0.0,0.0
110,Asian Handicap,Hearts 0 & -0.5,Back,1.230788326,2437395,28.17,17.77,-0.25,0.0,0.0
111,Asian Handicap,Tottenham 0 & +0.5,Back,1.230788326,48759,1.02,198.18,0.25,0.0,0.0
112,Asian Handicap,Hearts 0,Back,1.230788326,2437395,26.34,17.53,0.0,0.0,0.0
