Market,Selection,Bet Type,Max Size,Min Size
Asian Handicap,Hearts +2.0 & +2.5,Lay,7.63,0.0
Asian Handicap,Tottenham -2.0 & -2.5,Lay,35.02,0.0
Asian Handicap,Hearts +2.5,Lay,5.33,0.0
Asian Handicap,Tottenham -2.5,Lay,112.72,0.0
Asian Handicap,Hearts +2.5 & +3.0,Lay,14.15,0.0
Asian Handicap,Tottenham -2.5 & -3.0,Lay,56.28,0.0
Asian Handicap,Hearts +3.0,Lay,5.11,0.0
Asian Handicap,Tottenham -3.0,Lay,112.77,0.0
Asian Handicap,Hearts +3.0 & +3.5,Lay,2.18,0.0
Asian Handicap,Tottenham -3.0 & -3.5,Lay,251.86,0.0
Asian Handicap,Hearts +3.5,Lay,1.91,0.0
Asian Handicap,Tottenham -3.5,Lay,328.68,0.0
Asian Handicap,Hearts +3.5 & +4.0,Lay,2.72,0.0
Asian Handicap,Tottenham -3.5 & -4.0,Lay,520.41,0.0
Asian Handicap,Hearts +4.0,Lay,2.72,0.0
Asian Handicap,Tottenham -4.0,Lay,1008.99,0.0
Double Chance,Home or Draw,Back,35.2,0.0
Double Chance,Draw or Away,Back,6950.47,0.0
Double Chance,Home or Away,Back,695.72,0.0
Double Chance,Home or Draw,Lay,603.29,0.0
Double Chance,Draw or Away,Lay,36.64,0.0
Double Chance,Home or Away,Lay,90.63,0.0
Goal Lines,Under 0.5,Back,62.89,0.0
Goal Lines,Over 0.5,Back,1.01,0.0
Goal Lines,Under 0.5 & 1.0,Back,62.89,0.0
Goal Lines,Over 0.5 & 1.0,Back,1.01,0.0
Goal Lines,Under 1.0,Back,62.89,0.0
Goal Lines,Over 1.0,Back,798.57,0.0
Goal Lines,Under 1.0 & 1.5,Back,62.89,0.0
Goal Lines,Over 1.0 & 1.5,Back,399.29,0.0
Goal Lines,Under 1.5,Back,155.69,0.0
Goal Lines,Over 1.5,Back,38.72,0.0
Goal Lines,Under 1.5 & 2.0,Back,155.69,0.0
Goal Lines,Over 1.5 & 2.0,Back,14.83,0.0
Goal Lines,Under 2.0,Back,155.69,0.0
Goal Lines,Over 2.0,Back,19.8,0.0
Goal Lines,Under 2.0 & 2.5,Back,155.69,0.0
Goal Lines,Over 2.0 & 2.5,Back,23.86,0.0
Goal Lines,Under 2.5,Back,416.56,0.0
Goal Lines,Over 2.5,Back,15.19,0.0
Goal Lines,Under 2.5 & 3.0,Back,416.56,0.0
Goal Lines,Over 2.5 & 3.0,Back,31.09,0.0
Goal Lines,Under 3.0,Back,416.56,0.0
Goal Lines,Over 3.0,Back,27.25,0.0
Goal Lines,Under 3.0 & 3.5,Back,416.56,0.0
Goal Lines,Over 3.0 & 3.5,Back,66.58,0.0
Goal Lines,Under 3.5,Back,814.63,0.0
Goal Lines,Over 3.5,Back,16.87,0.0
Goal Lines,Under 3.5 & 4.0,Back,814.63,0.0
Goal Lines,Over 3.5 & 4.0,Back,76.96,0.0
Goal Lines,Under 4.0,Back,814.63,0.0
Goal Lines,Over 4.0,Back,17.25,0.0
Goal Lines,Under 4.0 & 4.5,Back,814.63,0.0
Goal Lines,Over 4.0 & 4.5,Back,55.8,0.0
Goal Lines,Under 4.5,Back,602.26,0.0
Goal Lines,Over 4.5,Back,11.15,0.0
Goal Lines,Under 4.5 & 5.0,Back,602.26,0.0
Goal Lines,Over 4.5 & 5.0,Back,20.27,0.0
Goal Lines,Under 5.0,Back,602.26,0.0
Goal Lines,Over 5.0,Back,19.2,0.0
Goal Lines,Under 5.0 & 5.5,Back,602.26,0.0
Goal Lines,Over 5.0 & 5.5,Back,18.24,0.0
Goal Lines,Under 5.5,Back,1.01,0.0
Goal Lines,Over 5.5,Back,10.71,0.0
Goal Lines,Under 5.5 & 6.0,Back,1.01,0.0
Goal Lines,Over 5.5 & 6.0,Back,14.43,0.0
Goal Lines,Under 6.0,Back,1.01,0.0
Goal Lines,Over 6.0,Back,14.22,0.0
Goal Lines,Under 6.0 & 6.5,Back,1.01,0.0
Goal Lines,Over 6.0 & 6.5,Back,14.01,0.0
Goal Lines,Under 6.5,Back,1.01,0.0
Goal Lines,Over 6.5,Back,13.17,0.0
Goal Lines,Under 6.5 & 7.0,Back,1.01,0.0
Goal Lines,Over 6.5 & 7.0,Back,6.77,0.0
Goal Lines,Under 7.0,Back,1.01,0.0
Goal Lines,Over 7.0,Back,6.77,0.0
Goal Lines,Under 7.0 & 7.5,Back,1.01,0.0
Goal Lines,Over 7.0 & 7.5,Back,14.85,0.0
Goal Lines,Under 7.5,Back,1.01,0.0
Goal Lines,Over 7.5,Back,6.77,0.0
Goal Lines,Under 7.5 & 8.0,Back,1.01,0.0
Goal Lines,Over 7.5 & 8.0,Back,6.77,0.0
Goal Lines,Under 8.0,Back,1.01,0.0
Goal Lines,Over 8.0,Back,6.77,0.0
Goal Lines,Under 8.0 & 8.5,Back,1.01,0.0
Goal Lines,Over 8.0 & 8.5,Back,15.04,0.0
Goal Lines,Under 8.5,Back,1.01,0.0
Goal Lines,Over 8.5,Back,1.01,0.0
Goal Lines,Under 0.5,Lay,1008.99,0.0
Goal Lines,Over 0.5,Lay,185.13,0.0
Goal Lines,Under 0.5 & 1.0,Lay,1008.99,0.0
Goal Lines,Over 0.5 & 1.0,Lay,185.13,0.0
Goal Lines,Under 1.0,Lay,800.64,0.0
Goal Lines,Over 1.0,Lay,185.13,0.0
Goal Lines,Under 1.0 & 1.5,Lay,400.32,0.0
Goal Lines,Over 1.0 & 1.5,Lay,185.13,0.0
Goal Lines,Under 1.5,Lay,123.94,0.0
Goal Lines,Over 1.5,Lay,56.64,0.0
Goal Lines,Under 1.5 & 2.0,Lay,35.5,0.0
Goal Lines,Over 1.5 & 2.0,Lay,56.64,0.0
Goal Lines,Under 2.0,Lay,19.94,0.0
Goal Lines,Over 2.0,Lay,56.64,0.0
Goal Lines,Under 2.0 & 2.5,Lay,16.83,0.0
Goal Lines,Over 2.0 & 2.5,Lay,56.64,0.0
Goal Lines,Under 2.5,Lay,15.3,0.0
Goal Lines,Over 2.5,Lay,185.6,0.0
Goal Lines,Under 2.5 & 3.0,Lay,13.76,0.0
Goal Lines,Over 2.5 & 3.0,Lay,185.6,0.0
Goal Lines,Under 3.0,Lay,88.73,0.0
Goal Lines,Over 3.0,Lay,185.6,0.0
Goal Lines,Under 3.0 & 3.5,Lay,66.59,0.0
