Market ID,Market Name,Selection Name,Selection ID,Handicap,Best Back Price,Best Back Size,Best Lay Price,Best Lay Size,Last Price Traded,Total Matched,Status,Removal Date,Adjustment Factor
1.230788286,Goal Lines,Over 7.5 & 8.0,7044482,8.0,110.0,6.77,1000.0,1.01,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 8.0,7044483,8.25,1.01,1.01,1.01,1161.29,,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 8.0,7044482,8.25,110.0,6.77,1000.0,1.01,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 8.0 & 8.5,7044483,8.5,1.01,1.01,1.01,1988.42,,0.0,ACTIVE,,
1.230788286,Goal Lines,Over 8.0 & 8.5,7044482,8.5,101.0,15.04,1000.0,1.01,,0.0,ACTIVE,,
1.230788286,Goal Lines,Under 8.5,7044483,0.5,1.01,1.01,1000.0,1.01,,,LOSER,,
1.230788286,Goal Lines,Over 8.5,7044482,0.5,1.01,1.01,1000.0,1.01,,,WINNER,,
1.230788321,Over/Under 2.5 Goals,Under 2.5 Goals,47972,0.0,1.98,170.06,2.06,97.0,2.44,0.0,ACTIVE,,
1.230788321,Over/Under 2.5 Goals,Over 2.5 Goals,47973,0.0,1.94,212.43,2.02,113.0,1.57,0.0,ACTIVE,,
1.230788322,Over/Under 4.5 Goals,Under 4.5 Goals,1222347,0.0,1.1,31.01,1.12,654.48,1.11,0.0,ACTIVE,,
1.230788322,Over/Under 4.5 Goals,Over 4.5 Goals,1222346,0.0,10.0,12.01,11.5,21.1,6.6,0.0,ACTIVE,,
1.230788324,Over/Under 1.5 Goals,Under 1.5 Goals,1221385,0.0,5.5,41.68,6.4,10.76,8.2,0.0,ACTIVE,,
1.230788324,Over/Under 1.5 Goals,Over 1.5 Goals,1221386,0.0,1.19,44.72,1.22,21.82,1.18,0.0,ACTIVE,,
1.230788325,Over/Under 3.5 Goals,Under 3.5 Goals,1222344,0.0,1.3,400.23,1.34,234.62,1.31,0.0,ACTIVE,,
1.230788325,Over/Under 3.5 Goals,Over 3.5 Goals,1222345,0.0,3.95,14.1,4.3,56.0,4.0,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts -4.0,2437395,-4.0,1.01,1.01,1000.0,1.01,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham +4.0,48759,4.0,1.01,1.01,1.01,36.63,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts -3.5 & -4.0,2437395,-3.75,1.01,1.01,1000.0,1.01,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham +3.5 & +4.0,48759,3.75,1.01,1.01,1.01,36.63,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts -3.5,2437395,-3.5,1.01,1.01,1000.0,1.01,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham +3.5,48759,3.5,1.01,1.01,1.01,36.63,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts -3.0 & -3.5,2437395,-3.25,1.01,1.01,1000.0,1.01,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham +3.0 & +3.5,48759,3.25,1.01,1.01,1.01,36.63,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts -3.0,2437395,-3.0,1.01,1.01,1000.0,1.01,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham +3.0,48759,3.0,1.01,1.01,1.01,36.63,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts -2.5 & -3.0,2437395,-2.75,1.01,1.01,1000.0,1.01,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham +2.5 & +3.0,48759,2.75,1.01,1.01,1.01,36.63,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts -2.5,2437395,-2.5,1.01,1.01,1000.0,1.01,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham +2.5,48759,2.5,1.01,1.01,1.01,36.63,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts -2.0 & -2.5,2437395,-2.25,1.01,1.01,1000.0,1.01,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham +2.0 & +2.5,48759,2.25,1.01,1.01,1.01,36.63,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts -2.0,2437395,-2.0,1.01,1.01,1000.0,1.01,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham +2.0,48759,2.0,1.01,1.01,1.01,36.63,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts -1.5 & -2.0,2437395,-1.75,1.01,1.01,959.0,1.48,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham +1.5 & +2.0,48759,1.75,1.01,1.01,1.01,36.63,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts -1.5,2437395,-1.5,1.01,1.01,980.0,1.88,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham +1.5,48759,1.5,1.01,1.01,1.01,36.63,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts -1.0 & -1.5,2437395,-1.25,1.01,1.01,971.6,1.9,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham +1.0 & +1.5,48759,1.25,1.01,1.01,1.01,36.63,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts -1.0,2437395,-1.0,1.01,1.01,963.19,1.91,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham +1.0,48759,1.0,1.01,1.01,1.01,36.63,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts -0.5 & -1.0,2437395,-0.75,36.31,12.06,105.89,10.32,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Tottenham +0.5 & +1.0,48759,0.75,1.01,782.7,1.02,36.27,,0.0,ACTIVE,,
1.230788326,Asian Handicap,Hearts -0.5,2437395,-0.5,30.0,11.44,61.1,20.89,32.01,0.0,ACTIVE,,
