Market,Selection,Bet Type,Max Size,Min Size
Asian Handicap,Spain -2.0 & -2.5,Lay,444.71,0.0
Asian Handicap,Germany +2.0 & +2.5,Lay,76.04,0.0
Asian Handicap,Spain -2.0,Lay,769.07,0.0
Asian Handicap,Germany +2.0,Lay,78.79,0.0
Asian Handicap,Spain -1.5 & -2.0,Lay,300.84,0.0
Asian Handicap,Germany +1.5 & +2.0,Lay,23.01,0.0
Asian Handicap,Spain -1.5,Lay,150.67,0.0
Asian Handicap,Germany +1.5,Lay,292.43,0.0
Asian Handicap,Spain -1.0 & -1.5,Lay,285.39,0.0
Asian Handicap,Germany +1.0 & +1.5,Lay,202.3,0.0
Asian Handicap,Spain -1.0,Lay,284.62,0.0
Asian Handicap,Germany +1.0,Lay,214.71,0.0
Asian Handicap,Spain -0.5 & -1.0,Lay,1060.11,0.0
Asian Handicap,Germany +0.5 & +1.0,Lay,732.24,0.0
Asian Handicap,Spain -0.5,Lay,2646.99,0.0
Asian Handicap,Germany +0.5,Lay,753.02,0.0
Asian Handicap,Spain 0 & -0.5,Lay,3031.29,0.0
Asian Handicap,Germany 0 & +0.5,Lay,1805.0,0.0
Asian Handicap,Spain 0,Lay,4103.71,0.0
Asian Handicap,Germany 0,Lay,2184.05,0.0
Asian Handicap,Spain 0 & +0.5,Lay,20.0,0.0
Asian Handicap,Germany 0 & -0.5,Lay,2977.68,0.0
Asian Handicap,Spain +0.5,Lay,4494.91,0.0
Asian Handicap,Germany -0.5,Lay,2612.88,0.0
Asian Handicap,Spain +0.5 & +1.0,Lay,2232.95,0.0
Asian Handicap,Germany -0.5 & -1.0,Lay,1226.37,0.0
Asian Handicap,Spain +1.0,Lay,544.83,0.0
Asian Handicap,Germany -1.0,Lay,613.21,0.0
Asian Handicap,Spain +1.0 & +1.5,Lay,448.95,0.0
Asian Handicap,Germany -1.0 & -1.5,Lay,560.97,0.0
Asian Handicap,Spain +1.5,Lay,89.32,0.0
Asian Handicap,Germany -1.5,Lay,526.87,0.0
Asian Handicap,Spain +1.5 & +2.0,Lay,18.25,0.0
Asian Handicap,Germany -1.5 & -2.0,Lay,902.01,0.0
Asian Handicap,Spain +2.0,Lay,78.13,0.0
Asian Handicap,Germany -2.0,Lay,1160.46,0.0
Asian Handicap,Spain +2.0 & +2.5,Lay,65.43,0.0
Asian Handicap,Germany -2.0 & -2.5,Lay,1355.32,0.0
Asian Handicap,Spain +2.5,Lay,62.92,0.0
Asian Handicap,Germany -2.5,Lay,714.34,0.0
